aba-aba;;aba-aba;;;;;
abad;;abad;;;;;
abadi;;abadi;kekal;;;;
abah;api;bak;bapak;buya;apak;;
abah;nyow;bapak;apak;mang;papi;;
abang;api;abang ;adin;pun;udo;batin;
abang;nyow;kanjeng;kiyai;daying;batin;;
abdi;api;abdi;;;;;
abdi;nyow;abdei;;;;;
abjad;;abjad;;;;;
absen;;absen;;;;;
abstrak;;abstrak;;;;;
abu;api;abu;;;;;
abu;nyow;abeu;;;;;
abung;;abung;;;;;
acap;api;acap;keghap;ghesok;seghing;;
acap;nyow;acap;ghisek;seghing;;;
acara;api;acagha;;;;;
acara;nyow;acaro;;;;;
ada;api;wat;ngedok;ngidok;;;
ada;nyow;wat;ngemik;makko;;;
adab;;adab;;;;;
adalah;api;yakdo;;;;;
adalah;nyow;yolah;;;;;
adanya;api;watni;;;;;
adanya;nyow;watno;;;;;
adat;api;adat;kebiasaan;;;;
adat;nyow;adat;kebiasoan;;;;
adik;api;adek;adik;;;;
adik;nyow;adik;;;;;
adil;;adil;;;;;
adinda;;adinda;;;;;
adonan;;adunan;kameghan;;;;
adu;api;tumbugh;tumbughan;sattak;;;
adu;nyow;tumbur;tumburan;;;;
aduh;api;agui;lawi;agai;;;
aduh;nyow;agui;;;;;
aduk;;aduk;mengaduk;;;;
agak;api;wayah;tegi;;;;
agak;nyow;wayah;tegei;;;;
agama;api;agama;;;;;
agama ;nyow;agamo;;;;;
agar;api;supaya;;;;;
agar;nyow;supayo;;;;;
agen;;agen;;;;;
agresi;api;seghangan;;;;;
agresi;nyow;serangan;;;;;
agung;;agung;balak;;;;
agustus;;agustus;;;;;
ahad;api;ahad;minggu;had;;;
ahad;nyow;ahad;minggeu;;;;
ahli;api;ahli;;;;;
ahli;nyow;ahlei;;;;;
air;;wai;;;;;
ajaib;api;ajaib;aneh;nyali;;;
ajaib;nyow;ajaib;aneh;nyalei;;;
ajak;;ajak;;;;;
ajal;;ajal;dis;;;;
ajar;api;ajagh;;;;;
ajar;nyow;ajar;;;;;
