abad;abad,jaman
abadi;melana,kekal,awit,kekkel
abah;bak,bapak,ayah,aki,aba,apak,pak,buya
abai;tagan,open,ughus,kemana,cubo,semeghanou,pighou
abang;abang,udo,temudo,atin,pun,kakak,kiyai,daing,batin,waghaituho,daying,abang,adin,atu,suluh
abdi;bedua,kainan,pacal,hamba,beduwo,suhut
abjad;abjad,aksara,susuna,ughutan
abnormal;mekakughang,maklatap,liyu,lebih,lawang,maknoghmal
abon;abon,dagigkiang,dagingtenapa,dagingtemawai,dindingdaging
abonemen;abonomen,langganan
absah;kasi,sah,makngedokhalangan,abash,jelas,dibenoghkon
abu;hambuwa,abu,abeu
acak;acak,luncak,langkan,udek,kucou
acap;ghisok,ganding,acap,ghapot,selalu,ghisek,ghesok,molok
acar;acagh,ghujak,acagh
acara;acagha
acu;acu,tehaguk,netuwon,aghah,adok
acuh;acuh,peduli,nengon,pighou
ada;wat,ngendok,nngemik
adab;adab,cagha,tata,adat,tatou
adang;hadang,halang,tebak,tebat
adaptasi;ngegegohi,nutukcagha,nyesuaiken,ngaweghken
adas;hadas,adas
adat;adat,peghatti,paghniti,atoghan,kebiasaan,sifat,hadat
adegan;lalakuan,penampilan,
adik;adik,ading,long,dik,dekwaghisanak
adil;adil,samaghata,sama,timbang
administrasi;adminitrasi,sughat,catetan
adon;ghenyau,aduk,cappugh,adun
adpis;tawai,patuah,calacah,petuwo,cacau
adres;alamat,ghangtinggal,ghangtippik,jengan,poknuwou
adu;adu,ucul,laga,sabung,tuhuk,lago,tulang
aduh;adui,agui,agai,ai
aduk;ghenyau,gundok,aduk,cappugh,awegh,sou
afdal;afdol,helau,betik,wajagh
afiat;munyaian,sihat,waghas
agama;agama,igama,agamou
agar;nyin,mangi,kenai,supayou
agen;agen,tukang,maklar,tengkulak
agenda;ghencaka,ghencana,sugih,ghencana
agitasi;ngehasut,nyasebu,nyundut-nyundut,asut
agresi;ngejajah
agresif;agresif,timal,ngitam
agung;balak,lebih,hunjak,agung
ahad;ahad,minggu
ahli;calak,pintagh,nalom,pandai,ahli
aib;bada,kejahatan,cacat,cela,lingotan,segokan,cello,ibou
air;wai
ajaib;aneh,maklomteduh,ajaib,makkughukakal
ajak;unggugh,ughau
ajal;dis,mati,ajal,sappaiwatu
ajar;tawai,ajagh,lajagh
ajudan;pengawal,pengebus,pengighing,penokowan,upas
ajuk;gagighok,nyuba,ngehinjok
akad;janji,akad
akal;akal,pikighan,pilihteduh,utok,akel,utek,hakal
akan;haga,aga,bakal,ago,agou
akar;bakak,wakak
akekah;akikah,nyilihdaghah,minjakajakkubang,kikah
akhir;aghir,uncuk,pelayu,peghaduan,pengukukkop,pegelikan
akhirat;aghirat,alambaka,bakmijan,neghat
akhlak;tikkahlaku,sopansattun,perangai,adeplaku,piil
akibat;akibat,buahni,padah,jadini
akidah;keyakinan,akidah,kepegcayaan,iman
aklamasi;ghagem,mufakat
akor;sedong,setukuh,jema,akogh,setughulan
akordeong;ghegin,haghmonika,akoghdion
akrab;mepakat,ghedik,ghapot,ghados,andes,landek,peket
aksara;abjad,tulisan,hughup,had,soghat
aksen;lughan,has,hingga,gaya
aksi;lagak,gaya,hoding,wayah
aktif;aktif,setemon,sehuwong,tugot,keghuhah
aktuil;tuwon,cocok,pantas,keyatoan,cecul,panjak
aku;sikendua,nyak,saya,hikam,ekam,ngaku,akken
akuarium;akuaghuim
akurat;temon,benor,buwes
alam;jagat,dunia,alam,Bahlangik
alamat;jengan,poktepik,alamat
alangkah;pandong,magga,mati,kiamat,materi
alas;papah,lapik,lapis,ilat,alas,sulan
alat;pekakas,penghabut,alat
album;album
alergi;nyimbak,pattang,segik,ngingger-inger,tappangan
alphabet;abjad,ughutan,alphabet
algojo;hulubalang,algojo,ulubalang
alhasil;alhasil
alih;alih,pindah,pendah
alim;malim
aling;lalat,lalidung,aling,hentagha,baling,wates
alir;hili,ilu,aligh,ili
alis;kakening,bulukening,alis
almanak;tanggalan,almenak
almarhum;pijjo,aghwah,almaghhum,mendiang,ghuh
almari;lemaghi,geghobok,pengukkosan
alot;layok,ngelot,layek
alpa;makghatong,lupo,alpa,
alquran;alquran,kuran,koghokan
alu;hellu,leu,lu
alumni;anjak,tamatan,luwahan,kas
alur;pang,haguk,luk,liku,alugh,lelui
amal;guwai,keghja,amal,tingkah
aman;aman,ngehaman,makghituk,makmeghabai
amanat;lehot,umanat
amarah;ngamuk,ngelimak,suya,butong,meghka,maghah,suyou
amat;pandong,kiamat,kangak,mati,temen
ambal;ambal,peghmadanei
ambang;pangkal,mula,ambang,papang
ambelas;bela,lebon,kaghom,teghelam,tebeghut
ambil;akuk,udok,cattik,pusun
ambisi;teghok,peghetok,haga,ago,mighak
ambruk;ghubuk,ghukkak,suwak,beghek
amfibi;bumighua,ngangkang,nynawongetipo
amil;panitia,amil,petugas,tukangson
amis;heni,huwong,hanney,weng
ampas;gagik,sepah,humpas,
ampat;pak
ampelas;hampelas,ampelas,pelas
amplop;hampelop,amplup,ampelop
ampun;bisa,ampuh,bosi,tahan,kukuh
anak;petuahan,anak,buay,keteguhan
ancam;ngegahghabai,ngaccam,accam
ancang;patok,tanda,kiro,ancang
ancer;kakigha,sakighani,teduh,attan
anda;niku,paseghuppok,puskam,metei,pusikam,kuttighuppok
andai;missal,sekigha,umpama,umpamo,andai,sekighou
andal;asa,andel,asou
andil;taghuh,modal,iugh,sussui,andil
anduk;basohan,telesan,anduk,handuk
aneh;nyali,nyumang,anih
aneka;bumacom,nayah,macam,macem-macem
anekdot;ghukan,wewaghah,lucew,ceghitoulucu
anggap;penyana,sakko,anggep
anggar;ngelaca,anggagh,angga
anggota;anggota,tesok,bagian,keghabat
angguk;cunggok,cunggot,cunggguk,cengget
anggun;anggun,sikop,aghing
angin;angin,hawa,angen,badai
angka;akka,akko,akkou
angkara;jahat,maghah,suyo
angkasa;awing-awang,langik,awan
angkat;iwak,injak,akkat
angker;segik,siyak,seregit
angkuh;nuha,ngasei,abut,balakpangghasa,akeh
angkut;usung,atat,alih,akkut
angsur;cacutikan,cicil,angsugh
aniaya;kaniyaya,sikso,kaniayou,peghjakou
anjur;ngayin,kisung,kayun
antar;antak,antagha,attak
antara;hentagha,hahelok,lelok,apik,pemisah
antek;bedua,kayinan,miyanak,keghip
anteng;manan,mepagoh,menong,penghaman,kalem,saghih
anti;nyuwoh,makgeghing,maksuka,maksetuju
antik;tuha,tumbai,helau,mahal,jamuka,jebbei,henggukan,tuho
antipati;mati,nyuwoh,maksetuju,makseneng,lassungnyuwong
antre;pulimban,begeligh,nunggugeleghan,antegei
anugerah;penghagoh,pengeni,pengejuk,nejuk,beghkat
anus;bumbong,jubugh,hahang,ketuk,suyut,tumbung
anut;nutuk,tutuk,sepaham
anyam;anyam,susun
anyir;heni,huwong,weng
apa;api,ghappa,nyo,nyou
apabila;ki,kittu,kittubang,among,lamen,kantunihan
apal;hapal,ngapal,apal
apatis;makpeduli,makngepenyelok,basingno
apes;mesisil,malang,sial,makmeghawan
api;apui
apit;hahelok,hapik,apik,gapik,gapit
apkir;kughah,maktepakai,apkigh
aplus;pulimbang,begantian,gattei
arah;haguk,adek,tujuk,adep
aral;halangan,sakkutan,sawat
arang;haghong,saleng
arena;gelanggang,pok
argument;ngeba,alasan
arit;sabit,landai,aghit,gubit
arloji;jam,agluji,jamtangan
armada;memayak,kapal,peghahulawet
aroma;meghum,ambau,seghibot
arsip;catitan,agship
arti;ghatti,ghetti,makna
arus;menghili,aghus,alighan
arwah;ghuh,agwah
asah;asah,haghing,tebagh,kekeling
